id,word_vocalized,word_clean,root,pos,fusha_equivalent,definition,region,synonyms,phonetic_variants,note,source,examples,proverbs,tags
11,أَثَّث,اثث,أثث,Verb,فرش البيت وجهزه,تجهيز البيت بالأثاث والمتاع.,General,"[""فرش""]",[],تعتبر لفظة مستحدثة، والمرادف التقليدي هو (فرش).,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 9,"[{""h"": ""سعيد أثث بيته الجديد أثاث زين."", ""f"": ""سعيد جهز منزله الجديد بأثاث فاخر.""}]",[],"[""Daily Life"", ""Home""]"
12,إِثْم,اثم,أثم,Noun,ذنب أو سيئة,بمعنى الذنب أو الجزاء السيئ نتيجة عمل معين.,General,"[""ذنب"", ""خطيئة""]",[],,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 9,"[{""h"": ""مسكين سعيد حصل إثم كبير."", ""f"": ""يا للمسكين، لقد ارتكب ذنباً كبيراً.""}]",[],"[""Religious"", ""Daily Life""]"
13,الأَوَادِم,الاوادم,أدم,Noun,البشر أو الناس,جمع آدمي، وتستخدم للإشارة إلى عامة الناس أو مجموعة منهم.,General,"[""الناس"", ""الخلق""]",[],,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 9,"[{""h"": ""تكلمت مع الأوادم كلهم."", ""f"": ""تحدثت مع جميع الناس.""}]",[],"[""Daily Life""]"
14,إِسْتَادَى,استادى,أذي,Verb,اشتكى أو تضرر,بمعنى تقديم شكوى ضد شخص بسبب أذيته.,Coast,"[""اشتكى""]",[],تتحول الذال إلى دال (استأذى -> استأدى) خاصة في مناطق الساحل.,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 9,"[{""h"": ""ما قد حد استأدى منه في الحارة."", ""f"": ""لم يسبق لأحد أن اشتكى من أذيته في الحي.""}]",[],"[""Social Customs"", ""Behavior""]"
15,انْقَاص البَرْد,انقاص البرد,نقص,Noun,حبات البَرَد,قطع الثلج المتساقطة مع المطر في الأجواء الباردة.,General,"[""برد""]",[],,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 9,"[{""h"": ""اليوم نزل مطر ومعه انقاص برد كبار."", ""f"": ""اليوم هطل مطر ومعه حبات برد كبيرة.""}]",[],"[""Nature"", ""Weather""]"
16,إِثْل,اثل,أثل,Noun,شجر الأثل,نوع من الشجر ينمو تلقائياً ويكثر في وادي حضرموت.,Wadi,[],[],,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 9,"[{""h"": ""الوادي مليان شجر أثل وسدر."", ""f"": ""الوادي ممتلئ بأشجار الأثل والسدر.""}]",[],"[""Nature"", ""Agriculture""]"
17,الأَزْمِيل,الازميل,زمل,Noun,الإزميل,أداة حديدية تستخدم للنحت والحفر في الخشب أو الصخر.,General,"[""منحات""]",[],,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 9,"[{""h"": ""النجار يستخدم الأزميل لنقش الباب."", ""f"": ""يستخدم النجار الإزميل لنقش الباب.""}]",[],"[""Tools"", ""Crafts""]"
18,إِيبَلَّه,ايبله,بله,Expression,إي والله (قسم للايجاب),صيغة قسم تستخدم للتأكيد والموافقة (إي بالله)، وتكثر عند أهل البادية.,Desert / Badia,"[""إي والله""]",[],,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 10,"[{""h"": ""إيبله إني جاي معاكم."", ""f"": ""إي والله، إنني آتٍ معكم.""}]",[],"[""Daily Life"", ""Expressions""]"
19,الأَقْصَام,الاقصام,قصم,Noun,جريد النخل,سعف أو جريد النخل الذي جف، ويستخدم في تسقيف البيوت التقليدية.,General,"[""قُصم""]",[],مفردها (قُصم).,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 10,"[{""h"": ""سقفنا العريش بالأقصام."", ""f"": ""سقفنا الكوخ بجريد النخل.""}]",[],"[""Nature"", ""Agriculture"", ""Home""]"
20,اللِّيف,الليف,ليف,Noun,ليف النخل,الألياف المتشابكة حول جذع النخلة، وتستخدم في التنظيف وصناعة الحبال.,General,[],[],,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 10,"[{""h"": ""نظف المواعين بليف النخل."", ""f"": ""نظف الأواني بليف النخل.""}]",[],"[""Nature"", ""Agriculture""]"
21,أَقْلِيد,اقليد,قلد,Noun,مفتاح خشبي تقليدي,قفل خشبي قديم له أسنان خشبية فريدة، وهو بمثابة المفتاح الحديدي حالياً.,General,"[""مفتاح""]","[""أيليد"", ""أجليد""]",تنطق القاف جيماً أو ياءً في بعض مناطق الساحل (أيليد).,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 10,"[{""h"": ""قفل الباب بالأقليد."", ""f"": ""أقفل الباب بالمفتاح الخشبي التقليدي.""}]","[""خوك إقليدك""]","[""Tools"", ""History""]"
22,إِبْرَه,ابره,أبر,Noun,الحقنة الطبية,تطلق في اللهجة الحضرمية غالباً على الحقنة الطبية (المصل).,General,"[""حقنة""]",[],,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 10,"[{""h"": ""الدكتور أعطاني إبره في العضل."", ""f"": ""أعطاني الطبيب حقنة في العضل.""}]",[],"[""Medical"", ""Daily Life""]"
23,اشِر,اشر,أشر,Verb,أشر أو علّم,بمعنى وضع علامة أو إشارة على شيء ما، أو الإشارة بالإصبع.,General,"[""علّم""]",[],,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 10,"[{""h"": ""اشر في الصفحة اللي وقفت عندها."", ""f"": ""ضع علامة في الصفحة التي توقفت عندها.""}]",[],"[""Daily Life""]"
24,أَكْشَف,اكشف,كشف,Adjective,سيئ الطباع أو عنيد,وصف للشخص الذي يتسم بالعناد أو سوء الخلق والرداءة.,General,"[""عنيد""]",[],الكشافة تعني العناد في اللهجة.,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 11,"[{""h"": ""هذا الولد أكشف ما يسمع الكلام."", ""f"": ""هذا الولد عنيد ولا يستمع للنصيحة.""}]","[""فقر وكشافه""]","[""Behavior"", ""Emotions""]"
25,أَيْوَا,ايوا,أوي,Expression,نعم / للإيجاب,لفظة تقال للإيجاب والموافقة، أو للرد على نداء شخص.,General,"[""نعم"", ""إي""]","[""إيوا""]",,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 11,"[{""h"": ""أيوا، أنا بسافر معاكم بكرة."", ""f"": ""نعم، سأسافر معكم غداً.""}]",[],"[""Daily Life"", ""Expressions""]"
26,إِبْزِم,ابزم,بزم,Noun,إبزيم,قطعتان معدنيتان تتشابكان لربط الحزام.,General,"[""مشبك"", ""قفل""]",[],,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 11,"[{""h"": ""سكر إبزم الحزام حقك."", ""f"": ""أغلق مشبك حزامك.""}]",[],"[""Clothing"", ""Daily Life""]"
27,أُبّـل,ابل,أبل,Noun,كعك صغير حلو,نوع من المعجنات والحلويات الحضرمية، عبارة عن كعك صغير الحجم هش وحلو المذاق لا حشوة فيه.,General,"[""كعك"", ""بسكويت""]",[],تنطق بضم الهمزة وتشديد الباء المفخمة.,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 11,"[{""h"": ""شربنا الشاهي مع الأبل العصر."", ""f"": ""شربنا الشاي مع كعك الأبل في وقت العصر.""}]",[],"[""Food"", ""Daily Life""]"
28,إِبْلِيس,ابليس,بلس,Expression,شخص ماكر أو ذكي جداً,تستخدم كوصف للشخص الخبيث أو كثير الحركة، وتأتي أحياناً للمدح بمعنى الذكي والشيطان (ود إبليس/بنت إبليس).,General,"[""عفريت"", ""ماكر"", ""ذكي""]",[],,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 11,"[{""h"": ""هذا الولد ود إبليس، يعرف كل شي."", ""f"": ""هذا الولد ذكي جداً وماكر، يعرف كل شيء.""}]",[],"[""Behavior"", ""Expressions""]"
29,أَبُو / بُو,ابو,أبو,Noun,أبا (للكنية),للكنية كما في العربية، وتُدغم الألف في النطق لتصبح (بو) مثل: بو عمر، بو حمد.,General,"[""بو""]","[""بو""]",تُدغم الألف تماماً في النطق الدارج.,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 11,"[{""h"": ""كيف حالك يا بو سالم؟"", ""f"": ""كيف حالك يا أبا سالم؟""}]",[],"[""Social Customs"", ""People""]"
30,أُمّ سَبْعَة وَسَبْعِين,ام سبعة وسبعين,سبع,Noun,أم أربعة وأربعين (حشرة),حشرة لها أرجل كثيرة تلدغ (أم أربعة وأربعين). كما تستخدم صيغة 'أوب' للفت الانتباه وإيقاف السيارة.,General,"[""أم أربعة وأربعين""]",[],ارتبطت العبارة بصرخة 'أوب عندك' لإيقاف سائق السيارة.,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 11,"[{""h"": ""احذر، تحت الحجر أم سبعة وسبعين."", ""f"": ""احذر، توجد حشرة أم أربعة وأربعين تحت الحجر.""}]",[],"[""Insects"", ""Nature""]"
31,أَمْبُوه,امبوه,موه,Noun,الماء (للأطفال),كلمة تعني الماء، وهي خاصة بتلقين الأطفال ليسهل عليهم طلب الشرب.,General,"[""ماء"", ""ماي""]",[],مفردة من لغة الأطفال .,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 12,"[{""h"": ""عط الولد امبوه يشرب."", ""f"": ""أعطِ الطفل ماءً ليشرب.""}]",[],"[""Children"", ""Food & Drink""]"
32,أَحّ,اح,أحح,Expression,آه (للتأوه أو الإعجاب),لفظ للتأوه من الألم (مثل لسعة النار)، وتستخدمه النساء للإعجاب الشديد بشيء، أو للتقليل من عمل شخص.,General,"[""آه"", ""أوف""]",[],تنطق بفتح الهمزة وتشديد الحاء.,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 12,"[{""h"": ""أح من ذاك القماش ما أزينه."", ""f"": ""يا لروعة وجمال ذلك القماش.""}, {""h"": ""أح منك، ما سويتها زين."", ""f"": ""يا للأسف منك، لم تتقن العمل.""}]","[""دحق على الجمر ولا تقول أح"", ""من بغاء البح لا يقول أح"", ""لا تقول أح يسمعك العدو يفرح""]","[""Emotions"", ""Expressions""]"
33,الآجر,الاجر,أجر,Noun,الطوب الأحمر المحروق,طوب أحمر من الطين المحروق في الأفران حتى يقسو، يُستخدم في البناء القديم كالمساجد.,Coast / Wadi,"[""طوب"", ""ياجر""]","[""الياجر""]",حرف الجيم ينطق (ياء) في حضرموت الساحل وجزء من الوادي (الآير/الياجر).,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 12,"[{""h"": ""هذا المسجد مبني من الآجر القديم."", ""f"": ""هذا المسجد مبني من الطوب الأحمر المحروق القديم.""}]",[],"[""Nature"", ""Construction"", ""History""]"
34,إِكِّس عَلَيْه,اكس عليه,عكس,Expression,تجاهله تماماً / ألغِه,تعبير يقال عن شخص أو موضوع بمعنى الإلغاء والتجاهل والاستبعاد النهائي.,General,"[""طنشه"", ""تجاهله""]",[],مأخوذة من علامة (X)، وتنطق بتشديد الكاف.,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 12,"[{""h"": ""هذا الرجال كذاب، إكس عليه."", ""f"": ""هذا الرجل كاذب، تجاهله تماماً وأسقطه من حساباتك.""}]",[],"[""Daily Life"", ""Expressions""]"
35,الأَوْد,الاود,أود,Noun,حصة الري,الفترة الزمنية المخصصة لسقي أرض زراعية معينة.,Wadi,"[""وجبة ماء"", ""نوبة""]",[],,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 12,"[{""h"": ""اليوم الأود حقنا في الساقية."", ""f"": ""اليوم هو موعد حصتنا من مياه الري.""}]",[],"[""Agriculture"", ""Nature""]"
36,الأَسْتَه,الاسته,سته,Adjective,الأبله / قليل الفهم,صفة تطلق على الشخص الأهبل أو الغبي قليل الفهم.,General,"[""أهبل"", ""غبي"", ""سته""]","[""سته""]",تُنطق أحياناً بدون الألف (سِتَه).,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 13,"[{""h"": ""لا تعتمد على هذا الأسته في الشغل."", ""f"": ""لا تعتمد على هذا الشخص قليل الفهم في العمل.""}]",[],"[""Behavior"", ""Insults""]"
37,أُوقِيّه,اوقيه,وقي,Noun,الأوقية (وحدة وزن),معيار وزن تقليدي كان معروفاً في حضرموت وقل استخدامه الآن لصالح الرطل والكيلو.,General,"[""وقية""]",[],,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 13,"[{""h"": ""أوزن لي أوقية بن."", ""f"": ""زن لي أوقية من البن.""}]",[],"[""Measurements"", ""History"", ""Daily Life""]"
38,أُص / أُصَّه,اص,صصص,Expression,اسكت / اصمت,كلمة لطلب السكوت والهدوء. وتأتي للاستنكار والاعتراض على كلام غير مقبول والمطالبة بإنهائه.,General,"[""اسكت"", ""صه""]","[""أصه""]",,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 13,"[{""h"": ""أصه ولا كلمة أسمعها منك."", ""f"": ""اصمت، لا أريد سماع أي كلمة منك.""}]",[],"[""Daily Life"", ""Expressions""]"
39,أَوَاق,اواق,أوق,Noun,عملة قديمة,اسم لعملة حضرمية نقدية قديمة.,General,[],[],جمع لكلمة (أوقية) عندما كانت تستخدم كعملة.,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 13,"[{""h"": ""كانوا يشترون التمر قديماً بالأواق."", ""f"": ""كانوا يشترون التمر قديماً بعملة الأواق.""}]",[],"[""Money"", ""History""]"
40,الأَيْك,الايك,أيك,Noun,رقم 1 في الدومينو,مصطلح يطلق على الرقم (1) في لعبة الدومينو (الضُمنة) في حضرموت.,General,"[""واحد""]",[],,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 13,"[{""h"": ""نزل الأيك وخلص اللعبة."", ""f"": ""العب قطعة الرقم 1 وأنهِ اللعبة.""}]",[],"[""Games"", ""Entertainment""]"
41,إِدْحَق / دَحَق,ادحق,دحق,Verb,امشِ / ادعس,تأتي بمعنى المشي والتقدم، أو بمعنى الدعس والدوس بقوة على شيء.,General,"[""امش"", ""ادعس"", ""دوس""]","[""دحق""]",بكسر الألف وتسكين الدال وفتح الحاء.,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 13,"[{""h"": ""ادحق بسرعة لا نتأخر."", ""f"": ""امشِ بسرعة كي لا نتأخر.""}, {""h"": ""ادحق عليه بقوة برجلك."", ""f"": ""دوس عليه بقوة بقدمك.""}]",[],"[""Daily Life"", ""Actions""]"
42,أَرْقَش,ارقش,رقش,Adjective,مُبرقش / ملون ببني وأبيض,وصف للون يجمع بين البني والقليل من البياض، غالباً يطلق على الطيور والحيوانات.,General,"[""مبقع"", ""مرقط""]",[],,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 13,"[{""h"": ""هذا الطير أرقش لونه يعجبك."", ""f"": ""هذا الطائر ملون بالبني والأبيض ولونه جميل.""}]",[],"[""Colors"", ""Nature"", ""Animals""]"
43,أَطْلَس,اطلس,طلس,Noun,قماش الحرير/الأطلس,نوع من أنواع القماش ذو الملمس الناعم والأملس.,General,"[""حرير""]",[],,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 13,"[{""h"": ""فصلت لها فستان من قماش أطلس."", ""f"": ""خاطت لها فستاناً من قماش ناعم أملس.""}]",[],"[""Clothing"", ""Daily Life""]"
44,اش,اش,ششش,Expression,كش / للطرد,لفظة تستخدم للزجر ونهر وطرد أو تفريق الحشرات والحيوانات والطيور.,General,"[""كش"", ""هش""]",[],,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 14,"[{""h"": ""إش الذبان من على الأكل."", ""f"": ""اطرد الذباب عن الطعام.""}]",[],"[""Nature"", ""Animals"", ""Expressions""]"
45,إِيش,ايش,أيش,Expression,ماذا / ما,لفظة للاستفهام غالباً، وتأتي للتساؤل المتعجب أحياناً.,General,"[""ماذا"", ""ويش""]",[],أصلها العربي (أي شيء).,قاموس اللهجة الحضرمية - فهد بن هلابي,"[{""h"": ""إيش هذا اللي في يدك؟"", ""f"": ""ما هذا الشيء الذي في يدك؟""}, {""h"": ""إيش تقول أنت؟"", ""f"": ""ماذا تقول أنت؟""}]",[],"[""Daily Life"", ""Expressions""]"
46,بَعْرَه,بعره,بعر,Noun,روث الماشية,روث وفضلات المواشي والجمال، وجمعها (بَعَر).,General,"[""روث"", ""دمان""]",[],,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 14,"[{""h"": ""نظف الشبك من البعره."", ""f"": ""نظف الحظيرة من روث المواشي.""}]",[],"[""Agriculture"", ""Animals"", ""Nature""]"
47,بَرِّك,برك,برك,Verb,بارِك / قُل مبروك,فعل أمر بمعنى بارك للآخرين أو قل لهم مبروك.,General,"[""بارك""]",[],,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 15,"[{""h"": ""برّك لأخوك على النجاح."", ""f"": ""بارك لأخيك بمناسبة نجاحه.""}]",[],"[""Daily Life"", ""Social Customs""]"
48,بِلِّي,بلي,بلي,Expression,بالذي,كلمة مدمجة تعني (بالذي) أو (بالشيء الذي).,General,"[""باللي"", ""بالذي""]",[],,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 15,"[{""h"": ""إيش أسوي بلي قدامي؟"", ""f"": ""ماذا أفعل بالذي أمامي؟""}]",[],"[""Daily Life"", ""Expressions""]"
49,بَخْت,بخت,بخت,Noun,النصيب / الحظ,كلمة تعني الحظ أو النصيب والقَدَر.,General,"[""حظ"", ""نصيب""]",[],أصل الكلمة فارسي (بخت) وانتقلت للعربية بمرور الزمن.,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 15,"[{""h"": ""هذا بختي ونصيبي في الدنيا."", ""f"": ""هذا هو حظي وقدري في الحياة.""}]","[""أبو العيال ربع بخت""]","[""Daily Life"", ""Emotions""]"
50,يِئَذِّن,يئذن,أذن,Verb,يؤذن / ينادي للصلاة,القيام بمهمة الآذان للإعلام بدخول وقت الصلاة، وتستخدم في الأمثال للدلالة على من ينصح شخصاً لا يستجيب.,General,"[""يصيح"", ""ينهم""]",[],,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 15,"[{""h"": ""المؤذن يئذن في الجامع."", ""f"": ""المؤذن يؤذن في المسجد.""}]","[""يئذِّن عند أصقع""]","[""Social Customs"", ""Religious""]"
51,بواه,بواه,واه,Expression,بماذا / لأي شيء,أداة استفهام تستفسر عن الوسيلة أو السبب، وهي مركبة من (بـ) و(واه) بمعنى ماذا.,General,"[""بأي شيء"", ""بمو""]",[],تكثر في الشعر الشعبي الحضرمي.,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 15,"[{""h"": ""بواه نكتب الرسالة؟"", ""f"": ""بماذا نكتب الرسالة؟""}, {""h"": ""نكتب بواه صبحت مثل الساعية فوق القِشار"", ""f"": ""بماذا نكتب وقد أصبحت حالنا كالسفينة المضطربة.""}]",[],"[""Daily Life"", ""Expressions""]"
52,البَغْزِيز,البغزيز,بغز,Noun,سمك مملح محفوظ,نوع من السمك الصغير يُملح ويُجفف لحفظه لفترات طويلة، وله رائحة نفاذة.,Coast,"[""وزف"", ""حاسوم""]",[],يعتبر من الوجبات الشعبية التاريخية في المناطق الساحلية.,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 15,"[{""h"": ""ريح البغزيز في المطبخ قوية."", ""f"": ""رائحة السمك المملح في المطبخ قوية.""}]",[],"[""Food"", ""Daily Life""]"
53,بنزر,بنزر,بنزر,Noun,لفة الغزل الكاملة,يطلق على حزمة أو لفة خيوط الغزل عندما تكون كاملة وغير منقوصة.,General,"[""كبكوبة"", ""لفة""]",[],,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 15,"[{""h"": ""اشتريت بنزر خيط جديد."", ""f"": ""اشتريت لفة غزل كاملة جديدة.""}]",[],"[""Daily Life"", ""Crafts""]"
54,بَلَاش,بلاش,بلاش,Noun,مجاناً,الحصول على الشيء بدون مقابل مادي، وأصلها (بلا شيء).,General,"[""مجاناً"", ""هبة""]",[],,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 16,"[{""h"": ""هذا الكيس خذه بلاش."", ""f"": ""هذا الكيس خذه مجاناً.""}]","[""بلاش ما يربح""]","[""Daily Life"", ""Trade""]"
55,با محقب,با محقب,حقب,Noun,العنكبوت,أحد الأسماء المحلية التي تطلق على حشرة العنكبوت في بعض المناطق الحضرمية.,General,"[""أم حبيل"", ""عنكبوت""]",[],,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 16,"[{""h"": ""با محقب بنى بيته في الزاوية."", ""f"": ""العنكبوت بنى بيته في الزاوية.""}]",[],"[""Nature"", ""Insects""]"
56,بزبز,بزبز,بزبز,Noun,قصبة النارجيلة,الأنبوب أو القصبة التي يتصاعد منها الدخان في أداة التدخين التقليدية (الرشبة أو الشيشة).,General,"[""لي"", ""ماصورة""]",[],,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 16,"[{""h"": ""نظف البزبز حق الرشبة."", ""f"": ""نظف قصبة النارجيلة.""}]",[],"[""Daily Life"", ""Smoking""]"
57,بُوفَتِيلَة,بوفتيله,فتل,Noun,بندقية قديمة,سلاح ناري قديم كان يُحشى بالبارود ويُشعل بفتيل، ولذا سميت (بو فتيلة).,General,"[""بندقية"", ""سلاح""]",[],تعتبر حالياً من التحف والمقتنيات التراثية.,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 16,"[{""h"": ""جدي عنده بوفتيله قديمة."", ""f"": ""جدي يملك بندقية بارود قديمة.""}]",[],"[""History"", ""Tools""]"
58,بَاقِرِنْقَاح,باقرنقاح,قنح,Noun,مرض النكاف,تورم فيروسي يصيب الغدد النكفية (الفكين) لدى الأطفال ويسبب الحمى.,General,"[""نكاف"", ""أبو كعب""]",[],,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 16,"[{""h"": ""الولد وجهه وارم، فيه باقرنقاح."", ""f"": ""وجه الولد متورم، هو مصاب بالنكاف.""}]",[],"[""Medical"", ""Children""]"
59,بطاح,بطاح,بطح,Noun,الرمل / الكثيب,يطلق على الرمل الناعم أو الكثبان الرملية المنبسطة.,General,"[""رمل"", ""كثيب"", ""زبار""]",[],,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 16,"[{""h"": ""لعبنا فوق البطاح."", ""f"": ""لعبنا فوق كثبان الرمل.""}]",[],"[""Nature"", ""Daily Life""]"
